id,name,functional_type,address,rating,lat,lon
53,Арт-объект Чудесная земля,Арт-объект,"Гора Соболиная, микрорайон Красный ключ, 91л/1, Байкальск, Слюдянский район, Иркутская область",,51.509327,104.120533
54,Декоративный объект Синтез,Памятники и скульптуры,"Татьянин сквер, Южный м-н, Байкальск, Слюдянский район, Иркутская область",,51.508614,104.141345
55,Декоративный объект Бременские музыканты,Памятники и скульптуры,"Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",5.0,51.521104,104.151993
56,Топиарий Сибирский медведь,Памятники и скульптуры,"Строитель м-н, Байкальск, Слюдянский район, Иркутская область",4.9,51.520721,104.139836
57,Декоративное сооружение Верстовой Екатерининский столб,Памятники и скульптуры,"Байкальск, Слюдянский район, Иркутская область",5.0,51.528215,104.147432
58,Мемориальная доска Татьянин сквер,Памятные доски,"Татьянин сквер, Южный м-н, Байкальск, Слюдянский район, Иркутская область",,51.508549,104.141275
59,Декоративный объект Цветы,Памятники и скульптуры,"Южный м-н, Байкальск, Слюдянский район, Иркутская область",5.0,51.510289,104.14095
60,Декоративный объект Весы,Памятники и скульптуры,"Байкальск, Слюдянский район, Иркутская область",,51.519539,104.178546
61,Мемориальный комплекс Связь поколений страны,Памятники и скульптуры,"Южный м-н, Байкальск, Слюдянский район, Иркутская область",,51.5113,104.145011
62,Поклонный крест,Религиозные объекты,"Южный м-н, Байкальск, Слюдянский район, Иркутская область",,51.511137,104.146004
63,Юбилейный,Дом культуры,"​2-й квартал, 51, Байкальск, Слюдянский район, Иркутская область",4.9,51.50817,104.141035
64,Музей природы южного Прибайкалья,Музей,"Микрорайон Гагарина, 211, Байкальск, Слюдянский район, Иркутская область",4.5,51.524244,104.147674
65,Гора Соболиная,Смотровые площадки,"Гора Соболиная, Слюдянский район, Иркутская область",5.0,51.492933,104.11028
66,Историко-краеведческий музей им. В. Т. Москальчука,Музей,"2-й квартал, 51, Байкальск, Слюдянский район, Иркутская область",,51.50817,104.141035
