lon,lat,ndvi,year
104.11748129106911,51.52669096063266,0.0,2017
104.11802028023958,51.52669096063266,0.0,2017
104.11855926941006,51.52669096063266,0.0,2017
104.11909825858052,51.52669096063266,0.0,2017
104.119637247751,51.52669096063266,0.0,2017
104.12017623692147,51.52669096063266,0.0,2017
104.12071522609195,51.52669096063266,0.0,2017
104.12125421526241,51.52669096063266,0.0,2017
104.12179320443289,51.52669096063266,0.0,2017
104.12233219360336,51.52669096063266,0.0,2017
104.12287118277382,51.52669096063266,0.0,2017
104.1234101719443,51.52669096063266,0.0,2017
104.12394916111477,51.52669096063266,0.0,2017
104.12448815028525,51.52669096063266,0.0,2017
104.12502713945571,51.52669096063266,0.0,2017
104.12556612862619,51.52669096063266,0.0,2017
104.12610511779666,51.52669096063266,0.0,2017
104.12664410696713,51.52669096063266,0.0,2017
104.1271830961376,51.52669096063266,0.0,2017
104.12772208530808,51.52669096063266,0.0,2017
104.12826107447854,51.52669096063266,0.0,2017
104.12880006364901,51.52669096063266,0.0,2017
104.12933905281949,51.52669096063266,0.0,2017
104.12987804198995,51.52669096063266,0.0,2017
104.13041703116043,51.52669096063266,0.0,2017
104.1309560203309,51.52669096063266,0.0,2017
104.13149500950138,51.52669096063266,0.0,2017
104.13203399867184,51.52669096063266,0.0,2017
104.13257298784232,51.52669096063266,0.0,2017
104.13311197701279,51.52669096063266,0.0,2017
104.13365096618327,51.52669096063266,0.0,2017
104.13418995535373,51.52669096063266,0.0,2017
104.1347289445242,51.52669096063266,0.0,2017
104.13526793369468,51.52669096063266,0.0,2017
104.13580692286514,51.52669096063266,0.0,2017
104.13634591203562,51.52669096063266,0.0,2017
104.13688490120609,51.52669096063266,0.0,2017
104.13742389037657,51.52669096063266,0.0,2017
104.13796287954703,51.52669096063266,0.0,2017
104.13850186871751,51.52669096063266,0.0,2017
104.13904085788798,51.52669096063266,0.0,2017
104.13957984705846,51.52669096063266,0.0,2017
104.14011883622892,51.52669096063266,0.0,2017
104.14065782539939,51.52669096063266,0.0,2017
104.14119681456987,51.52669096063266,0.0,2017
104.14173580374033,51.52669096063266,0.8645,2017
104.14227479291081,51.52669096063266,0.8535,2017
104.14281378208128,51.52669096063266,0.8544,2017
104.14335277125176,51.52669096063266,0.8435,2017
104.14389176042222,51.52669096063266,0.8433,2017
104.1444307495927,51.52669096063266,0.8604,2017
104.14496973876317,51.52669096063266,0.8248,2017
104.14550872793365,51.52669096063266,0.8602,2017
104.14604771710411,51.52669096063266,0.7746,2017
104.14658670627458,51.52669096063266,0.481,2017
104.14712569544506,51.52669096063266,0.5619,2017
104.14766468461552,51.52669096063266,0.7137,2017
104.148203673786,51.52669096063266,0.7488,2017
104.14874266295647,51.52669096063266,0.8658,2017
104.14928165212694,51.52669096063266,0.886,2017
104.14982064129741,51.52669096063266,0.7969,2017
104.15035963046789,51.52669096063266,0.7447,2017
104.15089861963835,51.52669096063266,0.8995,2017
104.15143760880883,51.52669096063266,0.8899,2017
104.1519765979793,51.52669096063266,0.9017,2017
104.15251558714976,51.52669096063266,0.8938,2017
104.15305457632024,51.52669096063266,0.0,2017
104.15359356549071,51.52669096063266,0.0,2017
104.15413255466119,51.52669096063266,0.0,2017
104.15467154383165,51.52669096063266,0.0,2017
104.15521053300213,51.52669096063266,0.0,2017
104.1557495221726,51.52669096063266,0.0,2017
104.15628851134308,51.52669096063266,0.0,2017
104.15682750051354,51.52669096063266,0.0,2017
104.15736648968402,51.52669096063266,0.0,2017
104.15790547885449,51.52669096063266,0.0,2017
104.15844446802495,51.52669096063266,0.0,2017
104.15898345719543,51.52669096063266,0.0,2017
104.1595224463659,51.52669096063266,0.0,2017
104.16006143553638,51.52669096063266,0.0,2017
104.16060042470684,51.52669096063266,0.0,2017
104.16113941387732,51.52669096063266,0.0,2017
104.16167840304779,51.52669096063266,0.0,2017
104.16221739221827,51.52669096063266,0.0,2017
104.16275638138873,51.52669096063266,0.0,2017
104.16329537055921,51.52669096063266,0.0,2017
104.16383435972968,51.52669096063266,0.0,2017
104.16437334890014,51.52669096063266,0.0,2017
104.16491233807062,51.52669096063266,0.0,2017
104.16545132724109,51.52669096063266,0.0,2017
104.16599031641157,51.52669096063266,0.0,2017
104.16652930558203,51.52669096063266,0.0,2017
104.16706829475251,51.52669096063266,0.0,2017
104.16760728392298,51.52669096063266,0.0,2017
104.16814627309346,51.52669096063266,0.0,2017
104.16868526226392,51.52669096063266,0.0,2017
104.1692242514344,51.52669096063266,0.0,2017
104.16976324060487,51.52669096063266,0.0,2017
104.17030222977533,51.52669096063266,0.0,2017
104.17084121894581,51.52669096063266,0.0,2017
104.17138020811628,51.52669096063266,0.0,2017
104.17191919728675,51.52669096063266,0.0,2017
104.17245818645722,51.52669096063266,0.0,2017
104.1729971756277,51.52669096063266,0.0,2017
104.17353616479816,51.52669096063266,0.0,2017
104.17407515396864,51.52669096063266,0.0,2017
104.17461414313911,51.52669096063266,0.0,2017
104.17515313230959,51.52669096063266,0.0,2017
104.17569212148005,51.52669096063266,0.0,2017
104.17623111065052,51.52669096063266,0.0,2017
104.176770099821,51.52669096063266,0.0,2017
104.17730908899146,51.52669096063266,0.0,2017
104.17784807816194,51.52669096063266,0.0,2017
104.17838706733241,51.52669096063266,0.0,2017
104.17892605650289,51.52669096063266,0.0,2017
104.17946504567335,51.52669096063266,0.0,2017
104.18000403484383,51.52669096063266,0.0,2017
104.1805430240143,51.52669096063266,0.0,2017
104.18108201318478,51.52669096063266,0.0,2017
104.18162100235524,51.52669096063266,0.0,2017
104.18215999152571,51.52669096063266,0.0,2017
104.18269898069619,51.52669096063266,0.0,2017
104.18323796986665,51.52669096063266,0.0,2017
104.18377695903713,51.52669096063266,0.0,2017
104.1843159482076,51.52669096063266,0.0,2017
104.18485493737808,51.52669096063266,0.0,2017
104.18539392654854,51.52669096063266,0.0,2017
104.18593291571902,51.52669096063266,0.0,2017
104.18647190488949,51.52669096063266,0.0,2017
104.18701089405997,51.52669096063266,0.0,2017
104.18754988323043,51.52669096063266,0.0,2017
104.18808887240091,51.52669096063266,0.0,2017
104.18862786157138,51.52669096063266,0.0,2017
104.18916685074184,51.52669096063266,0.0,2017
104.18970583991232,51.52669096063266,0.0,2017
104.19024482908279,51.52669096063266,0.0,2017
104.19078381825327,51.52669096063266,0.0,2017
104.19132280742373,51.52669096063266,0.0,2017
104.19186179659421,51.52669096063266,0.0,2017
104.19240078576468,51.52669096063266,0.0,2017
104.19293977493516,51.52669096063266,0.0,2017
104.19347876410562,51.52669096063266,0.0,2017
104.1940177532761,51.52669096063266,0.0,2017
104.19455674244657,51.52669096063266,0.0,2017
104.19509573161703,51.52669096063266,0.0,2017
104.19563472078751,51.52669096063266,0.0,2017
104.19617370995798,51.52669096063266,0.0,2017
104.19671269912845,51.52669096063266,0.0,2017
104.19725168829892,51.52669096063266,0.0,2017
104.1977906774694,51.52669096063266,0.0,2017
104.19832966663986,51.52669096063266,0.0,2017
104.19886865581034,51.52669096063266,0.0,2017
104.19940764498081,51.52669096063266,0.0,2017
104.19994663415129,51.52669096063266,0.0,2017
104.20048562332175,51.52669096063266,0.0,2017
104.20102461249222,51.52669096063266,0.0,2017
104.2015636016627,51.52669096063266,0.0,2017
104.20210259083316,51.52669096063266,0.0,2017
104.11748129106911,51.52615197146219,0.0,2017
104.11802028023958,51.52615197146219,0.0,2017
104.11855926941006,51.52615197146219,0.0,2017
104.11909825858052,51.52615197146219,0.0,2017
104.119637247751,51.52615197146219,0.0,2017
104.12017623692147,51.52615197146219,0.0,2017
104.12071522609195,51.52615197146219,0.0,2017
104.12125421526241,51.52615197146219,0.0,2017
104.12179320443289,51.52615197146219,0.0,2017
104.12233219360336,51.52615197146219,0.0,2017
104.12287118277382,51.52615197146219,0.0,2017
104.1234101719443,51.52615197146219,0.0,2017
104.12394916111477,51.52615197146219,0.0,2017
104.12448815028525,51.52615197146219,0.0,2017
104.12502713945571,51.52615197146219,0.0,2017
104.12556612862619,51.52615197146219,0.0,2017
104.12610511779666,51.52615197146219,0.0,2017
104.12664410696713,51.52615197146219,0.0,2017
104.1271830961376,51.52615197146219,0.0,2017
104.12772208530808,51.52615197146219,0.0,2017
104.12826107447854,51.52615197146219,0.0,2017
104.12880006364901,51.52615197146219,0.0,2017
104.12933905281949,51.52615197146219,0.0,2017
104.12987804198995,51.52615197146219,0.0,2017
104.13041703116043,51.52615197146219,0.0,2017
104.1309560203309,51.52615197146219,0.0,2017
104.13149500950138,51.52615197146219,0.0,2017
104.13203399867184,51.52615197146219,0.0,2017
104.13257298784232,51.52615197146219,0.0,2017
104.13311197701279,51.52615197146219,0.0,2017
104.13365096618327,51.52615197146219,0.0,2017
104.13418995535373,51.52615197146219,0.0,2017
104.1347289445242,51.52615197146219,0.7078,2017
104.13526793369468,51.52615197146219,0.3856,2017
104.13580692286514,51.52615197146219,0.3969,2017
104.13634591203562,51.52615197146219,0.7363,2017
104.13688490120609,51.52615197146219,0.6841,2017
